board_name,board_website,board_phone,board_email,agency_affiliation,agency_url,picture_url,bio,city,name,term_end,position,party
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Aasen.jpg,"Ms. Aasen has been practicing law in the Black Hills since 2007, after a 20-plus-year career as a business lawyer on the East Coast. She previously served as a Commissioner for the South Dakota State Bar and been on the boards of various charitable organizations in Rapid City.",Rapid City,Kirsten Aasen,2024-05-20,Attorney,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Ken2.jpg,"Mr. Albers completed 6 years with the Navy after graduation from high school, that is, four years active duty and two years reserve time. Upon returning home from military service, he became employed as a Lincoln County Deputy Sheriff. Mr. Albers served in that capacity for about 6 years, after which he ran for Sheriff, he got elected as Sheriff of Lincoln County and served in that capacity for 26 years. Upon retirement from the Sheriff’s Office, Mr. Albers went to work for his wife. She was the owner-operator of the Black Angus Steak House and Lounge. He tended the bar on pretty much a regular basis and gave the place a really good cleaning on Monday mornings. He did try to work in the kitchen at the Steak House. However, other kitchen employees threatened to quit. His wife decided to take him out of the kitchen. A change was needed, so, in 1997 he ran for South Dakota State Senate and got elected. He was State Senator of District 16 for a total of 10 years. In 2010 and was appoin",Canton,Kenneth Albers,2026-01-17,Member,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Picture3.png,"Mr. Beck served at the Northern Hills Public Defenders Office in 1992 and started Beck Law Office, a private law practice in Ipswich, South Dakota, in 1993. In addition to his law practice he currently serves as the State’s Attorney for Edmunds and Walworth County. He has served as State’s Attorney for 21 years.",Ipswich,Vaughn Beck,2027-01-18,Member,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Kurt2.jpg,"Hall is a native of Ree Heights, S.D. and has been the Faulk County Sheriff since 2004. Prior to that he served 6 years as the Hand County Sheriff. He also served as the President of the South Dakota Sheriff’s Association in 2013. Hall was instrumental in the construction of a new jail facility in Faulk County which opened in 2017, providing 35 beds for inmates from surrounding counties as well as federal prisoners. -Sited from the office of the South Dakota Attorney General webpage.",Faulkton,Kurt Hall,2026-01-19,Member,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Peter.JPG,"Mr. Lieberman Grew up in NY state, attended law school in SD, fell in love with The Plains and the Black Hills and never left SD. Mr. Lieberman clerked for the SD Supreme Court, was an assistant attorney general under then A.G. Bill Janklow, appointed by the SD Supreme Court to serve as a magistrate judge in the 2nd judicial circuit, appointed by Gov. Janklow to the circuit bench, re-elected twice by the citizens of the 2nd circuit, served 35 years as a judge, specializing in criminal court cases, taught trial tactics and procedure at the USD Law School. Not only did he fall in love with this part of America, he fell in love with a woman from Sioux Falls and they have been together for forty years. Between doing work that meant something, having a few good and true friends, and spending the majority of his life with a woman that he loves he feels very fortunate.",Sioux Falls,Peter Lieberman,2024-01-20,Attorney,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Pat2.jpg,"Mrs. Meyers, previously served on the South Dakota Board of Pardons and Paroles from 2008-2012. Mrs. Meyers has practiced litigation in the area of insurance defense and has also practiced family law. Mrs. Meyers served on the State Bar Disciplinary Committee for six years, Mrs. Myers was re-appointed to the SD Board of Paroles on December 19th, 2022.",Rapid City,Patricia Meyers,2026-03-28,Member,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/myron.png,"After a distinguished 26-year career with the South Dakota Highway Patrol, Myron was hired to manage the South Dakota Trucking Association and the South Dakota Automobile Dealers Association. For 21 years he served as President of these two nonprofit trade associations. Throughout Myron’s professional career, he has been regarded as one who understands how the South Dakota Code is written and how that code is best interpreted for practical use by citizens and law enforcement. These traits are best demonstrated by the credibility and relationships he has developed with Lobbyists and South Dakota Legislators during his 31 years of serving as both a public and private lobbyist. As an additional service to the state, in November of 2014, Myron was appointed to serve as a member of the South Dakota Board of Pardons and Paroles where he currently serves as Chairman.",Sioux Falls,Myron Rau,2025-01-18,Member,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Chuck2.png,"Retired Attorney who has lived in Pierre since 1970. USD Graduate with degrees in Business and Law. Served as an Assistant Attorney General, elected Hughes County State’s Attorney, and practiced with a firm in Pierre. Married with one daughter and two grandchildren.",Pierre,Charles Schroyer,2024-01-15,Attorney,
"Pardons and Paroles, Board of",http://doc.sd.gov/parole/,605-367-5040,val.mcgovern@state.sd.us,Department of Corrections,http://doc.sd.gov,https://boardsandcommissions.sd.gov/bcuploads/Jan2.jpg,"Jan Steele first began a career in hospital nursing, then transitioned to mental health nursing at the Human Service Agency in Watertown from 1981 to 1987. From June of 1988 to the present day, Jan has been Codington County's Victim Witness Coordinator through the State's Attorney's Office. In the early years as Victim Witness Coordinator, from 1992-2000, Jan taught at the Law Enforcement Training Center in Pierre, revising a curriculum for a class entitled, ""Mental Illnesses: the Law Enforcement Response"" and Victim/Witness Assistance, providing law enforcement basic training. instruction on the role of a Victim/Witness Assistant. Jan served as a local coordinator in Watertown for the Widowed Persons Service, a training group for volunteers visiting the newly widowed, serving in that volunteer capacity while a nurse at the Human Service Agency. Jan also served on the Lake Area Child Protection Team, Boys & Girls Club, and Watertown Area Council for Aging, and was a volunteer singer/",Gary,Jan Steele,2024-01-20,Member,
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,,Vacant,,Electrical Industry,
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Fort Pierre,Rick Cronin,2025-04-14,Fire Safety Expertise,Republican
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Watertown,Dave Eide,2024-04-14,Electrical Utility,Republican
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Mitchell,Doug Fuerst,2023-04-14,Education,Republican
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Yankton,Sean Lyons,2024-04-14,Lay Member,Independant
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Tea,Tor Sorlien,2023-04-14,Electrical Contractor,Democrat
"Electrical Commission, State of South Dakota",http://dlr.sd.gov/electrical,605-773-5087 ,electrical@state.sd.us,Department of Labor and Regulation,http://dlr.sd.gov/,,,Sioux Falls,Russell VanDerWerff,2024-04-14,Lay Member,Republican
