board_name,agency_affiliation,name,position,city,term_end,party,picture_url,bio,board_website,board_phone,board_email,agency_website
911 Coordination Board,Department of Public Safety,Amy Leon,Municipal League,Yankton,2026-06-30,,,,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Andrew Boyd,South Dakota Telecommunications Service Provider,Wall,2025-06-30,,,,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Curt Kabris,South Dakota Telecommunications Service Provider,Brookings,2027-03-30,,,,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Duane Sutton,County Commissioner,Aberdeen,2027-06-30,,,SD Association of County Commissioners,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Kelli Wollmann,County Commissioner,Madison,2026-06-30,,,South Dakota Association of County Commissioners,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Kelly Serr,Sheriff,Bison,2025-06-30,,,SD Sheriff's Association,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Michelle DeNeui,Municipal League,Spearfish,2027-06-30,,,South Dakota Municipal League,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Stephanie Olson,South Dakota National Emergency Number Association Member,Rapid City,2025-06-30,,,,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
911 Coordination Board,Department of Public Safety,Tim Toomey,Police Chief,Watertown,2025-06-30,,,SD Police Chief's Association,https://dps.sd.gov/emergency-services/state-9-1-1-coordination,605-773-3264,SD911Coordinator@state.sd.us,http://dps.sd.gov/
Abstracters' Board of Examiners,Department of Labor and Regulation,Dan Roe,Abstracter (President),Sturgis,2027-04-01,Republican,,,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,http://dlr.sd.gov
Abstracters' Board of Examiners,Department of Labor and Regulation,Gregory Wick,Abstracter (Secretary/Treasurer),Rapid City,2027-04-01,Republican,,,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,http://dlr.sd.gov
Abstracters' Board of Examiners,Department of Labor and Regulation,Michael Larson,Abstracter,Gettysburg,,Republican,,,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,http://dlr.sd.gov
Abstracters' Board of Examiners,Department of Labor and Regulation,Terra Larson,Lay Member,Pierre,2027-04-01,Republican,,,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,http://dlr.sd.gov
Abstracters' Board of Examiners,Department of Labor and Regulation,Victoria Wilds,Abstracter,Sioux Falls,2027-04-01,Democrat,,,http://dlr.sd.gov/abstracters,605-642-1600,proflic@rushmore.com,http://dlr.sd.gov
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Deidre Budahl,"CPA, Chair",Rapid City,2025-10-30,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Holly Engelhart,"CPA, Vice-Chair",Aberdeen,2027-10-30,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Jay Tolsma,"CPA, Secretary-Treasurer",Mitchell,2026-10-30,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Jeff Strand,"CPA, Member",Sioux Falls,2025-10-30,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Priscilla Romkema,Lay Member,Spearfish,2026-10-30,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Accountancy, South Dakota Board of",Department of Labor and Regulation,Russell Olson,Ex-Officio Member,Pierre,,,,,http://dlr.sd.gov/accountancy,605-367-5770,Nicole.Kasin@state.sd.us,http://dlr.sd.gov/
"Addiction and Prevention Professionals, Board of",Department of Social Services,Jennifer Tinguely,Lay Member,Sioux Falls,2026-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
"Addiction and Prevention Professionals, Board of",Department of Social Services,Jodi Hepperle,Licensed Addiction Counselor,Aberdeen,2026-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
"Addiction and Prevention Professionals, Board of",Department of Social Services,Kari Johnston,Lay Member,Watertown,2026-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
"Addiction and Prevention Professionals, Board of",Department of Social Services,Kari Termansen,Licensed Addiction Counselor,Mitchell,2026-10-30,,,,https://dss.sd.gov/licensingboards/bapp/bapp.aspx,605-224-1721,bapp@midwestsolutionssd.com,https://dss.sd.gov/licensingboards/bapp/bapp.aspx
